year_month,sales
2015-01,19546.163
2015-02,11678.994
2015-03,6716.044
2015-04,12455.482
2015-05,15165.051
2015-06,11884.169
2015-07,10075.74
2015-08,26797.763
2015-09,17158.932
2015-10,10112.641
2015-11,18349.764
2015-12,17045.8427
2016-01,17701.686400000002
2016-02,13018.315
2016-03,12207.4066
2016-04,11963.696
2016-05,10483.482
2016-06,13026.6682
2016-07,10706.72
2016-08,22782.577
2016-09,16484.901
2016-10,12293.038
2016-11,12139.0395
2016-12,9761.333
2017-01,26342.541
2017-02,42967.915
2017-03,25982.287
2017-04,19472.164
2017-05,22649.3888
2017-06,14050.143
2017-07,16501.007
2017-08,24156.3226
2017-09,9789.662
2017-10,22599.782
2017-11,20378.24
2017-12,21365.1485
2018-01,27367.592
2018-02,36285.936
2018-03,26882.953
2018-04,21203.607
2018-05,15979.157
2018-06,12138.1558
2018-07,25110.4795
2018-08,26823.69
2018-09,23148.87
2018-10,17558.322
2018-11,17407.27
2018-12,16647.042
